	CN113	CN123	CN133	CN143	CN153	CN213	CN223	CN233	CN243	CN253	CN313	CN323	CN333	CN343	CN353	CN413	CN414	CN423	CN433	CN443	CN453	CN513	CN523	CN533	CN543	CN553	CN613	CN623	CN633	CN643	CN653
CN313	0.7953488372093023	0.6972111553784861	0.7632850241545893	0.7085714285714285	0.7259786476868327	0.6870229007633588	0.8921568627450981	0.7038327526132404	0.6934984520123839	0.7540983606557377	0.0	0.6027397260273972	0.5901639344262295	0.6291390728476821	0.6136363636363636	0.6751918158567775	0.7381974248927039	0.6548672566371682	0.6595092024539877	0.6210526315789474	0.6296296296296297	0.6071428571428571	0.6633663366336634	0.6324503311258278	0.69375	0.7089783281733746	0.642023346303502	0.7136363636363636	0.6578947368421053	0.6613418530351438	0.6551724137931034
CN323	0.7857142857142857	0.7098214285714286	0.7471264367816092	0.7492447129909365	0.714859437751004	0.7088607594936709	0.8809523809523809	0.7203065134099617	0.7326732673267327	0.7915194346289752	0.6027397260273972	0.0	0.5833333333333334	0.6474820143884892	0.6666666666666666	0.7401574803149606	0.751219512195122	0.696078431372549	0.7045454545454546	0.6851851851851852	0.6558704453441295	0.645021645021645	0.6892857142857143	0.6559139784946236	0.6851211072664359	0.7654723127035831	0.676595744680851	0.6827956989247311	0.6594202898550725	0.6952054794520548	0.7263843648208469
CN333	0.784037558685446	0.6653061224489796	0.7450980392156863	0.7085714285714285	0.6981818181818182	0.6614785992217899	0.8756218905472637	0.6666666666666666	0.668769716088328	0.7290969899665551	0.5901639344262295	0.5833333333333334	0.0	0.5574912891986062	0.6030534351145038	0.6886075949367089	0.7272727272727273	0.6367713004484304	0.6512345679012346	0.6210526315789474	0.6496350364963503	0.6126482213438735	0.603448275862069	0.6459016393442623	0.6112956810631229	0.7049689440993789	0.6205533596837944	0.677570093457944	0.6075085324232082	0.6171617161716172	0.6293929712460063
CN343	0.8291814946619217	0.6854304635761589	0.8145454545454546	0.640625	0.691131498470948	0.6857142857142857	0.8996282527881041	0.6646525679758308	0.6446280991735537	0.7031700288184438	0.6291390728476821	0.6474820143884892	0.5574912891986062	0.0	0.6158730158730159	0.6132075471698113	0.7448275862068966	0.7013888888888888	0.6297297297297297	0.6261127596439169	0.662613981762918	0.6241830065359477	0.5905044510385756	0.62	0.6136363636363636	0.6546961325966851	0.6351791530944625	0.7302158273381295	0.5816023738872403	0.5867052023121387	0.6403269754768393
CN353	0.809322033898305	0.6830188679245283	0.7860262008733624	0.6685393258426966	0.7290969899665551	0.6928571428571428	0.8878923766816144	0.6598639455782312	0.616822429906542	0.7278481012658228	0.6136363636363636	0.6666666666666666	0.6030534351145038	0.6158730158730159	0.0	0.6294416243654822	0.746031746031746	0.6693877551020408	0.6048632218844985	0.6482084690553745	0.6756756756756757	0.5871212121212122	0.5907590759075908	0.610223642172524	0.61198738170347	0.6492307692307693	0.6309963099630996	0.7076271186440678	0.6435331230283912	0.6088328075709779	0.6207951070336392
CN413	0.8233695652173914	0.712082262210797	0.8186813186813187	0.5804988662131519	0.6633165829145728	0.6919191919191919	0.8950276243093923	0.6715328467153284	0.6139534883720931	0.6682692307692307	0.6751918158567775	0.7401574803149606	0.6886075949367089	0.6132075471698113	0.6294416243654822	0.0	0.7247956403269755	0.7287234042553191	0.5986238532110092	0.6304347826086957	0.6666666666666666	0.6434108527131783	0.5912408759124088	0.5889423076923077	0.62004662004662	0.5995260663507109	0.6272965879265092	0.7877984084880637	0.6009615384615384	0.5847255369928401	0.574468085106383
CN414	0.7848837209302325	0.7522522522522522	0.7590361445783133	0.7515527950310559	0.7272727272727273	0.775	0.864516129032258	0.7322834645669292	0.7843137254901961	0.7822878228782287	0.7381974248927039	0.751219512195122	0.7272727272727273	0.7448275862068966	0.746031746031746	0.7247956403269755	0.0	0.7040816326530612	0.7635782747603834	0.724907063197026	0.7096774193548387	0.7510373443983402	0.75	0.735191637630662	0.7609427609427609	0.7847682119205298	0.7276595744680852	0.7736842105263158	0.734982332155477	0.7575757575757576	0.7408637873754153
CN423	0.7833333333333333	0.6588785046728972	0.7294117647058823	0.6962025316455697	0.675	0.6666666666666666	0.8727272727272727	0.6825396825396826	0.6736111111111112	0.7769784172661871	0.6548672566371682	0.696078431372549	0.6367713004484304	0.7013888888888888	0.6693877551020408	0.7287234042553191	0.7040816326530612	0.0	0.6854304635761589	0.6264591439688716	0.6419753086419753	0.6299559471365639	0.663003663003663	0.6773049645390071	0.6875	0.7391304347826086	0.6447368421052632	0.6864864864864865	0.6857142857142857	0.6607773851590106	0.6989966555183946
CN433	0.822742474916388	0.7076923076923077	0.7839721254355401	0.6642156862745098	0.7259887005649718	0.6876876876876877	0.9	0.6637931034482759	0.6081081081081081	0.7420212765957447	0.6595092024539877	0.7045454545454546	0.6512345679012346	0.6297297297297297	0.6048632218844985	0.5986238532110092	0.7635782747603834	0.6854304635761589	0.0	0.6386554621848739	0.6179104477611941	0.6253869969040248	0.5481049562682215	0.5905292479108635	0.6076294277929155	0.6290322580645161	0.6441717791411042	0.7297297297297297	0.6044568245125348	0.6049046321525886	0.6190476190476191
CN443	0.8199233716475096	0.7034482758620689	0.7448559670781894	0.6121883656509696	0.707936507936508	0.6812080536912751	0.8866396761133604	0.684375	0.6347826086956522	0.749271137026239	0.6210526315789474	0.6851851851851852	0.6210526315789474	0.6261127596439169	0.6482084690553745	0.6304347826086957	0.724907063197026	0.6264591439688716	0.6386554621848739	0.0	0.6440129449838188	0.6531986531986532	0.6158536585365854	0.6126126126126126	0.6502890173410405	0.6910112359550562	0.6599326599326599	0.7518796992481203	0.6109422492401215	0.6551724137931034	0.6497175141242938
CN453	0.7662337662337663	0.6974169741697417	0.7631578947368421	0.7081081081081081	0.6573426573426573	0.6545454545454545	0.8995633187772926	0.6907894736842105	0.6862170087976539	0.7844311377245509	0.6296296296296297	0.6558704453441295	0.6496350364963503	0.662613981762918	0.6756756756756757	0.6666666666666666	0.7096774193548387	0.6419753086419753	0.6179104477611941	0.6440129449838188	0.0	0.6487455197132617	0.6614906832298136	0.6366459627329193	0.6746268656716418	0.7270114942528736	0.6749116607773852	0.7125	0.6479750778816199	0.6349693251533742	0.6538461538461539
CN513	0.8071748878923767	0.6477732793522267	0.7710280373831776	0.6734104046242775	0.6727272727272727	0.6653992395437263	0.8904761904761904	0.6654929577464789	0.6509433962264151	0.705685618729097	0.6071428571428571	0.645021645021645	0.6126482213438735	0.6241830065359477	0.5871212121212122	0.6434108527131783	0.7510373443983402	0.6299559471365639	0.6253869969040248	0.6531986531986532	0.6487455197132617	0.0	0.5743944636678201	0.5665529010238908	0.5927152317880795	0.6233766233766234	0.609375	0.6511627906976745	0.6258278145695364	0.6078431372549019	0.6375
CN523	0.8014981273408239	0.6891891891891891	0.76171875	0.6209677419354839	0.6740506329113924	0.65	0.8700787401574803	0.6798780487804879	0.5710059171597633	0.7105263157894737	0.6633663366336634	0.6892857142857143	0.603448275862069	0.5905044510385756	0.5907590759075908	0.5912408759124088	0.75	0.663003663003663	0.5481049562682215	0.6158536585365854	0.6614906832298136	0.5743944636678201	0.0	0.5047318611987381	0.5216049382716049	0.5857988165680473	0.5910652920962199	0.676923076923077	0.5613496932515337	0.5185185185185185	0.5755813953488372
CN533	0.8029197080291971	0.68	0.7827715355805244	0.6143617021276596	0.6901840490797546	0.6805111821086262	0.8951310861423221	0.6513761467889908	0.6284916201117319	0.7023121387283237	0.6324503311258278	0.6559139784946236	0.6459016393442623	0.62	0.610223642172524	0.5889423076923077	0.735191637630662	0.6773049645390071	0.5905292479108635	0.6126126126126126	0.6366459627329193	0.5665529010238908	0.5047318611987381	0.0	0.5548961424332344	0.603448275862069	0.6158940397350994	0.6865671641791045	0.5412844036697247	0.56047197640118	0.5971830985915493
