	CN113	CN123	CN133	CN143	CN153	CN213	CN223	CN233	CN243	CN253	CN313	CN323	CN333	CN343	CN353	CN413	CN414	CN423	CN433	CN443	CN453	CN513	CN523	CN533	CN543	CN553	CN613	CN623	CN633	CN643	CN653
CN313	0.6397109428768066	0.6001376462491397	0.6163110805230557	0.5289057123193392	0.6011699931176876	0.5244322092222987	0.8410185822436339	0.5671025464556091	0.5502408809359945	0.6052993805918788	0.0	0.5089470061940812	0.4029593943565038	0.512388162422574	0.4917412250516173	0.48382656572608396	0.5801789401238816	0.5151410874053682	0.5147969717825189	0.46455609084652444	0.5230557467309016	0.5313145216792843	0.5209910529938059	0.4969029593943565	0.5254645560908465	0.5519614590502409	0.5230557467309016	0.6035788024776325	0.5127322780454233	0.47763248451479695	0.5278733654507914
CN323	0.5320027529249828	0.43668272539573294	0.506194081211287	0.5333792154163799	0.5984170681348934	0.4821059876118376	0.8265657260839642	0.48864418444597385	0.4803854094975912	0.5681348933241569	0.5089470061940812	0.0	0.2838953888506538	0.5154852030282174	0.45010323468685476	0.44666207845836203	0.5113558155540262	0.3558155540261528	0.47143840330351	0.4332415691672402	0.48107364074328973	0.3740536820371645	0.393324156916724	0.41878871300757053	0.48245010323468684	0.47935306262904337	0.39883000688231246	0.4029593943565038	0.44425326909841706	0.4593943565037853	0.4975911906400551
CN333	0.5275292498279421	0.42773571920165177	0.4955264969029594	0.5055058499655884	0.5860289057123194	0.44322092222986925	0.848589125946318	0.45251204404679973	0.4483826565726084	0.526152787336545	0.4029593943565038	0.2838953888506538	0.0	0.49587061252580866	0.4301445285615967	0.4353062629043359	0.5024088093599449	0.34583620096352374	0.4256710254645561	0.4318651066758431	0.493805918788713	0.34721266345492086	0.3379215416379904	0.4015829318651067	0.45354439091534754	0.42291810048176187	0.36235375086028904	0.39848589125946315	0.4545767377838954	0.42945629731589813	0.43220922229869235
CN343	0.6841018582243634	0.6307639366827253	0.6459050240880936	0.5640055058499656	0.6039229181004817	0.5316586373021335	0.8375774260151411	0.6176875430144528	0.574328974535444	0.6359256710254646	0.512388162422574	0.5154852030282174	0.49587061252580866	0.0	0.565726083964212	0.4573296627666896	0.5949759119064005	0.5605643496214728	0.508602890571232	0.4865794907088782	0.5388850653819683	0.49827942188575364	0.5443909153475568	0.5079146593255334	0.5165175498967653	0.5505849965588437	0.6015141087405368	0.6393668272539573	0.5299380591878872	0.5130763936682725	0.5994494150034412
CN353	0.5746730901582932	0.5626290433585684	0.5178940123881625	0.5006882312456985	0.6073640743289745	0.5030970406056435	0.8664831383344804	0.5048176187198898	0.4532002752924983	0.5946317962835512	0.4917412250516173	0.45010323468685476	0.4301445285615967	0.565726083964212	0.0	0.45492085340674465	0.565726083964212	0.46145905024088096	0.4435650378527185	0.48279421885753615	0.4772883688919477	0.4459738472126635	0.46937370956641433	0.4211975223675155	0.4256710254645561	0.4989676531314522	0.5364762560220234	0.5629731589814178	0.5437026841018582	0.4845147969717825	0.47178251892635925
CN413	0.5240880935994494	0.47212663454920856	0.4817618719889883	0.46249139710942877	0.4796971782518926	0.42188575361321407	0.8062629043358569	0.4710942876806607	0.4463179628355127	0.4889883000688231	0.48382656572608396	0.44666207845836203	0.4353062629043359	0.4573296627666896	0.45492085340674465	0.0	0.3716448726772196	0.44184445973847214	0.37130075705437027	0.3754301445285616	0.43977976600137647	0.3888506538196834	0.4267033723331039	0.36545079146593257	0.41913282863041984	0.4091534755677908	0.43255333792154166	0.512388162422574	0.43805918788713005	0.37715072264280797	0.4301445285615967
CN414	0.5474879559532003	0.5199587061252581	0.5020646937370956	0.5643496214728149	0.5474879559532003	0.4869236063317275	0.8410185822436339	0.5178940123881625	0.5540261527873366	0.5402615278733655	0.5801789401238816	0.5113558155540262	0.5024088093599449	0.5949759119064005	0.565726083964212	0.3716448726772196	0.0	0.49002064693737096	0.46421197522367513	0.4738472126634549	0.530970406056435	0.4865794907088782	0.5048176187198898	0.4401238816242257	0.5529938059187887	0.4772883688919477	0.49105299380591877	0.5392291810048176	0.5206469373709567	0.5147969717825189	0.49621472814865797
CN423	0.530970406056435	0.4408121128699243	0.41569167240192706	0.4638678596008259	0.5240880935994494	0.44872677219545765	0.8365450791465933	0.48623537508602893	0.4869236063317275	0.5750172057811425	0.5151410874053682	0.3558155540261528	0.34583620096352374	0.5605643496214728	0.46145905024088096	0.44184445973847214	0.49002064693737096	0.0	0.3668272539573297	0.330006882312457	0.3981417756366139	0.40330350997935305	0.3750860289057123	0.4198210598761184	0.47040605643496214	0.46421197522367513	0.4232622161046111	0.41052993805918786	0.48726772195457674	0.4662766689607708	0.4807295251204405
CN433	0.5357880247763248	0.48726772195457674	0.4559532002752925	0.4662766689607708	0.462835512732278	0.43702684101858225	0.8410185822436339	0.5096352374397798	0.4328974535443909	0.5381968341362698	0.5147969717825189	0.47143840330351	0.4256710254645561	0.508602890571232	0.4435650378527185	0.37130075705437027	0.46421197522367513	0.3668272539573297	0.0	0.3860977288368892	0.3802477632484515	0.4452856159669649	0.4132828630419821	0.39298004129387476	0.4328974535443909	0.4160357880247763	0.46008258774948385	0.4377150722642808	0.48141775636613904	0.4208534067446662	0.44666207845836203
CN443	0.518582243633861	0.5003441156228493	0.5	0.4194769442532691	0.4497591190640055	0.4284239504473503	0.811424638678596	0.5113558155540262	0.4618031658637302	0.5357880247763248	0.46455609084652444	0.4332415691672402	0.4318651066758431	0.4865794907088782	0.48279421885753615	0.3754301445285616	0.4738472126634549	0.330006882312457	0.3860977288368892	0.0	0.411906400550585	0.462835512732278	0.45044735030970406	0.424294562973159	0.44287680660701995	0.503785271851342	0.48967653131452166	0.5213351686166552	0.4270474879559532	0.4039917412250516	0.48520302821748107
CN453	0.5633172746042671	0.5708878183069511	0.49105299380591877	0.5292498279421886	0.5020646937370956	0.503785271851342	0.8843771507226428	0.5437026841018582	0.4796971782518926	0.6070199587061252	0.5230557467309016	0.48107364074328973	0.493805918788713	0.5388850653819683	0.4772883688919477	0.43977976600137647	0.530970406056435	0.3981417756366139	0.3802477632484515	0.411906400550585	0.0	0.5075705437026841	0.49931176875430144	0.4607708189951824	0.462835512732278	0.5237439779766001	0.5615966964900206	0.5220233998623538	0.5220233998623538	0.47625602202339984	0.5089470061940812
CN513	0.547143840330351	0.42876806607019957	0.47315898141775636	0.5306262904335857	0.5829318651066758	0.4927735719201652	0.8275980729525121	0.49793530626290433	0.52856159669649	0.5688231245698555	0.5313145216792843	0.3740536820371645	0.34721266345492086	0.49827942188575364	0.4459738472126635	0.3888506538196834	0.4865794907088782	0.40330350997935305	0.4452856159669649	0.462835512732278	0.5075705437026841	0.0	0.3296627666896077	0.31830695113558155	0.38403303509979353	0.346180316586373	0.4132828630419821	0.43255333792154166	0.45044735030970406	0.42360633172746043	0.4821059876118376
CN523	0.5519614590502409	0.4924294562973159	0.5099793530626291	0.5209910529938059	0.5849965588437716	0.49587061252580866	0.8382656572608397	0.49105299380591877	0.49449415003441155	0.5464556090846524	0.5209910529938059	0.393324156916724	0.3379215416379904	0.5443909153475568	0.46937370956641433	0.4267033723331039	0.5048176187198898	0.3750860289057123	0.4132828630419821	0.45044735030970406	0.49931176875430144	0.3296627666896077	0.0	0.3093599449415003	0.35443909153475567	0.364762560220234	0.38506538196834134	0.42635925671025465	0.39504473503097043	0.418100481761872	0.465244322092223
CN533	0.5560908465244322	0.5127322780454233	0.5120440467997247	0.5113558155540262	0.5671025464556091	0.46421197522367513	0.8035099793530627	0.49105299380591877	0.48141775636613904	0.5371644872677219	0.4969029593943565	0.41878871300757053	0.4015829318651067	0.5079146593255334	0.4211975223675155	0.36545079146593257	0.4401238816242257	0.4198210598761184	0.39298004129387476	0.424294562973159	0.4607708189951824	0.31830695113558155	0.3093599449415003	0.0	0.3165863730213352	0.36854783207157604	0.44184445973847214	0.4556090846524432	0.3816242257398486	0.38816242257398487	0.46249139710942877
CN543	0.5794907088781831	0.5605643496214728	0.5450791465932553	0.5068823124569856	0.5505849965588437	0.48864418444597385	0.8124569855471439	0.5375086028905712	0.5113558155540262	0.553337921541638	0.5254645560908465	0.48245010323468684	0.45354439091534754	0.5165175498967653	0.4256710254645561	0.41913282863041984	0.5529938059187887	0.47040605643496214	0.4328974535443909	0.44287680660701995	0.462835512732278	0.38403303509979353	0.35443909153475567	0.3165863730213352	0.0	0.42601514108740535	0.49311768754301444	0.5237439779766001	0.4373709566414315	0.4239504473503097	0.5116999311768754
CN553	0.4917412250516173	0.41293874741913283	0.4975911906400551	0.5137646249139711	0.4975911906400551	0.4638678596008259	0.7962835512732278	0.4232622161046111	0.5	0.45836200963523743	0.5519614590502409	0.47935306262904337	0.42291810048176187	0.5505849965588437	0.4989676531314522	0.4091534755677908	0.4772883688919477	0.46421197522367513	0.4160357880247763	0.503785271851342	0.5237439779766001	0.346180316586373	0.364762560220234	0.36854783207157604	0.42601514108740535	0.0	0.3860977288368892	0.43392980041293877	0.4769442532690984	0.41706813489332417	0.4408121128699243
CN613	0.47935306262904337	0.3540949759119064	0.5113558155540262	0.526152787336545	0.5141087405368203	0.4332415691672402	0.813833448038541	0.40708878183069513	0.4697178251892636	0.46214728148657946	0.5230557467309016	0.39883000688231246	0.36235375086028904	0.6015141087405368	0.5364762560220234	0.43255333792154166	0.49105299380591877	0.4232622161046111	0.46008258774948385	0.48967653131452166	0.5615966964900206	0.4132828630419821	0.38506538196834134	0.44184445973847214	0.49311768754301444	0.3860977288368892	0.0	0.39125946317962834	0.434273916035788	0.3499655884377151	0.37130075705437027
